Title:,"Persons Killed, by Day of Week from the Fatal Traffic  Accidents: Persons Killed Database",,,,,,
SubTitle:,USA,,,,,,
Time:,01/1975 - 12/2019,,,,,,
Unit of Measure:,#,#,#,#,#,#,#
Citation:,"National Highway Traffic Safety Administration (2021-04-27). Persons Killed, by Day of Week: Persons Killed, by Day of Week |  | Sunday | Monday | Tuesday | Wednesday | Thursday | Friday | Saturday, 01/1975 - 12/2019. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-003-012 doi:https://doi.org/10.6068/DP17D48DEFD9736",,,,,,
ColumnCount:,8,,,,,,
RowCount:,480,,,,,,
,,,,,,,
Time,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Jan-75,444,335,279,496,386,516,581
Feb-75,486,333,357,310,334,450,543
Mar-75,578,425,311,333,352,525,757
Apr-75,585,342,401,440,351,521,610
May-75,639,425,374,397,502,646,990
Jun-75,806,523,434,410,454,569,774
Jul-75,732,450,537,548,592,597,736
Aug-75,811,507,434,430,464,686,927
Sep-75,640,521,547,388,415,587,745
Oct-75,635,395,394,477,524,688,748
Nov-75,696,406,400,439,420,526,853
Dec-75,471,468,465,641,437,542,621
Jan-76,407,327,344,354,429,493,673
Feb-76,591,332,312,363,338,471,551
Mar-76,561,382,403,369,373,455,633
Apr-76,577,378,350,403,454,680,710
May-76,789,528,406,390,416,620,936
Jun-76,614,445,529,549,508,545,753
Jul-76,740,515,463,483,618,738,962
Aug-76,845,592,552,448,474,632,782
Sep-76,685,461,412,470,478,611,846
Oct-76,798,398,380,464,465,699,1028
Nov-76,518,436,401,457,514,508,683
Dec-76,564,384,382,510,643,722,695
Jan-77,436,357,300,318,338,390,597
Feb-77,470,303,317,320,355,502,599
Mar-77,510,369,443,460,467,567,662
Apr-77,591,421,397,359,402,662,890
May-77,824,578,479,415,444,522,779
Jun-77,696,489,454,569,648,653,792
Jul-77,994,567,506,476,546,740,1100
Aug-77,736,620,586,630,501,638,853
Sep-77,689,480,415,431,534,806,880
Oct-77,885,544,460,449,478,642,1086
Nov-77,640,435,480,619,592,613,758
Dec-77,579,435,429,400,556,827,900
Jan-78,483,398,367,321,313,377,462
Feb-78,429,287,291,314,344,388,588
Mar-78,526,339,373,472,481,658,638
Apr-78,809,379,420,388,447,546,932
May-78,733,614,573,521,481,604,834
Jun-78,735,530,496,486,647,832,883
Jul-78,948,680,569,530,581,654,1015
Aug-78,855,542,622,611,649,744,949
Sep-78,788,498,518,489,522,808,1133
Oct-78,962,559,571,501,551,705,931
Nov-78,693,451,427,613,626,698,863
Dec-78,737,438,461,515,480,868,988
Jan-79,396,395,400,446,365,467,587
Feb-79,521,335,363,384,368,456,677
Mar-79,602,392,389,435,512,724,995
Apr-79,808,526,461,438,466,637,777
May-79,744,448,563,519,627,606,863
Jun-79,824,500,478,444,494,765,985
Jul-79,831,645,595,571,532,595,879
Aug-79,731,473,485,565,671,861,908
Sep-79,952,505,465,487,521,672,1076
Oct-79,765,597,560,589,516,674,946
Nov-79,675,459,463,511,592,804,859
Dec-79,822,617,487,516,493,743,1022
Jan-80,500,381,506,431,470,522,611
Feb-80,492,360,326,327,436,624,697
Mar-80,683,413,402,379,400,544,813
Apr-80,592,415,457,532,423,562,738
May-80,738,452,416,449,520,787,1106
Jun-80,1049,646,514,497,585,654,970
Jul-80,754,515,571,661,727,743,861
Aug-80,1078,559,523,512,582,920,1211
Sep-80,736,589,552,495,557,628,914
Oct-80,713,453,396,541,578,773,877
Nov-80,740,462,433,466,506,629,998
Dec-80,615,520,537,644,507,589,754
Jan-81,461,357,393,374,601,605,774
Feb-81,529,365,379,415,379,564,744
Mar-81,680,450,449,412,431,502,727
Apr-81,697,437,363,501,574,597,784
May-81,804,454,388,401,456,706,920
Jun-81,751,562,527,476,533,661,800
Jul-81,720,529,445,591,673,863,934
Aug-81,987,612,508,539,524,646,1092
Sep-81,710,482,553,543,482,604,862
Oct-81,655,432,418,411,554,808,969
Nov-81,716,478,443,503,509,556,756
Dec-81,546,423,531,539,661,569,671
Jan-82,509,313,294,305,290,572,599
Feb-82,425,316,313,330,349,481,551
Mar-82,511,417,404,457,405,449,658
Apr-82,586,397,410,378,458,634,650
May-82,803,452,356,429,426,549,867
Jun-82,693,420,457,493,473,559,723
Jul-82,702,467,467,478,592,648,929
Aug-82,823,549,530,433,514,596,755
Sep-82,658,477,374,502,528,611,769
Oct-82,789,438,404,396,387,684,977
Nov-82,541,422,465,458,451,517,645
Dec-82,484,374,362,517,587,694,588
Jan-83,470,307,322,328,333,435,670
Feb-83,441,313,307,338,348,396,544
Mar-83,486,344,367,421,444,476,532
Apr-83,476,338,333,344,358,581,798
May-83,662,452,440,388,427,517,774
Jun-83,620,428,434,496,531,525,663
Jul-83,784,481,424,400,476,669,903
Aug-83,675,545,552,544,508,587,738
Sep-83,617,445,443,415,533,699,824
Oct-83,733,519,427,382,431,549,918
Nov-83,500,355,501,500,487,591,608
Dec-83,454,356,392,455,521,626,681
Jan-84,502,372,399,331,297,429,488
Feb-84,453,310,315,355,337,445,543
Mar-84,541,349,328,314,444,567,742
Apr-84,650,391,349,352,376,497,621
May-84,603,406,465,509,517,547,704
Jun-84,650,505,427,482,435,691,884
Jul-84,813,616,531,495,512,520,742
Aug-84,643,472,459,550,576,763,780
Sep-84,801,504,461,402,445,580,921
Oct-84,675,487,502,515,491,606,748
Nov-84,555,427,386,454,497,646,734
Dec-84,563,534,386,432,473,530,819
Jan-85,383,297,415,443,448,438,476
Feb-85,374,340,329,310,332,415,482
Mar-85,573,347,319,314,389,546,719
Apr-85,574,484,468,375,386,542,690
May-85,647,457,411,467,512,638,783
Jun-85,772,472,480,477,484,584,932
Jul-85,625,515,553,619,538,559,694
Aug-85,661,509,457,463,586,761,924
Sep-85,771,581,405,401,416,518,727
Oct-85,640,446,483,462,547,583,706
Nov-85,559,399,398,456,425,694,834
Dec-85,508,502,493,397,445,522,522
Jan-86,449,334,345,481,432,569,505
Feb-86,417,338,370,277,345,439,489
Mar-86,618,487,361,358,390,452,747
Apr-86,604,402,457,433,406,509,693
May-86,700,480,425,430,524,682,928
Jun-86,835,560,502,488,532,586,800
Jul-86,705,509,586,560,663,676,788
Aug-86,875,527,471,501,507,768,1073
Sep-86,650,566,525,440,452,574,790
Oct-86,689,444,441,495,506,726,802
Nov-86,626,432,458,458,464,540,790
